sclht,dense,abund,chi
0.3,650000000000.0,11.0,0.2571519495918732
0.3,1050000000000.0,1.0,0.3269507863572674
0.3,1050000000000.0,3.0,0.2980069112040856
0.3,1050000000000.0,5.0,0.2789282256126845
0.3,1050000000000.0,7.0,0.2643884633270846
0.3,1050000000000.0,9.0,0.2525501663931297
0.3,1050000000000.0,11.0,0.2425397349544037
0.3,1700000000000.0,1.0,0.3106125862824578
0.3,1700000000000.0,3.0,0.2813290271592126
0.3,1700000000000.0,5.0,0.2625957583249577
0.3,1700000000000.0,7.0,0.2485574026002933
0.3,1700000000000.0,9.0,0.2372653245176093
0.3,1700000000000.0,11.0,0.227807926840628
0.3,2750000000000.0,1.0,0.29353817363663
0.3,2750000000000.0,3.0,0.2643670654776812
0.3,2750000000000.0,5.0,0.2461760291536465
0.3,2750000000000.0,7.0,0.2327602353043782
0.3,2750000000000.0,9.0,0.2220977572358404
0.3,2750000000000.0,11.0,0.2132534593698635
0.3,4450000000000.0,1.0,0.2760325372536393
0.3,4450000000000.0,3.0,0.2473328397149721
0.3,4450000000000.0,5.0,0.2298586921558762
0.3,4450000000000.0,7.0,0.2171742473323754
0.3,4450000000000.0,9.0,0.207214393674923
0.3,4450000000000.0,11.0,0.1990341466381464
0.5,50000000000.0,1.0,0.36989088801845
0.5,50000000000.0,3.0,0.3340243802317867
0.5,50000000000.0,5.0,0.3035271590818101
0.5,50000000000.0,7.0,0.2772695070339027
0.5,50000000000.0,9.0,0.2544484023975632
0.5,50000000000.0,11.0,0.2344730595909105
0.5,100000000000.0,1.0,0.3515214468748865
0.5,100000000000.0,3.0,0.3090090959997421
0.5,100000000000.0,5.0,0.2757021920712095
0.5,100000000000.0,7.0,0.248617379036987
0.5,100000000000.0,9.0,0.226052441212144
0.5,100000000000.0,11.0,0.2069449787213015
0.5,150000000000.0,1.0,0.3369033435390371
0.5,150000000000.0,3.0,0.2905845119117584
0.5,150000000000.0,5.0,0.256397822293827
0.5,150000000000.0,7.0,0.2295920556835367
0.5,150000000000.0,9.0,0.2078162085009959
0.5,150000000000.0,11.0,0.1897309292680237
0.5,250000000000.0,1.0,0.3142084093361635
0.5,250000000000.0,3.0,0.2642806323759582
0.5,250000000000.0,5.0,0.2301833341977528
0.5,250000000000.0,7.0,0.204586963619816
0.5,250000000000.0,9.0,0.1844142802350796
0.5,250000000000.0,11.0,0.1680627572003102
0.5,400000000000.0,1.0,0.2896191085208471
0.5,400000000000.0,3.0,0.2382546206765436
0.5,400000000000.0,5.0,0.2054088592405784
0.5,400000000000.0,7.0,0.1816466627910691
0.5,400000000000.0,9.0,0.163434465391287
0.5,400000000000.0,11.0,0.1490264425601686
0.5,650000000000.0,1.0,0.2616556496245217
0.5,650000000000.0,3.0,0.2108796798301347
0.5,650000000000.0,5.0,0.1803142875326004
0.5,650000000000.0,7.0,0.1590327419118271
0.5,650000000000.0,9.0,0.1432378805159431
0.5,650000000000.0,11.0,0.1311153544071425
0.5,1050000000000.0,1.0,0.2328922472366009
0.5,1050000000000.0,3.0,0.1845102038775427
0.5,1050000000000.0,5.0,0.1570139002705919
0.5,1050000000000.0,7.0,0.1386701671933371
0.5,1050000000000.0,9.0,0.1255833296645682
0.5,1050000000000.0,11.0,0.115936871473286
0.5,1700000000000.0,1.0,0.2041831338850169
0.5,1700000000000.0,3.0,0.1597202753216893
0.5,1700000000000.0,5.0,0.1360077627767897
0.5,1700000000000.0,7.0,0.1210247001882143
