sclht,dense,abund,chi
0.6,650000000000.0,3.0,0.1586333729861107
0.6,650000000000.0,5.0,0.130082941592794
0.6,650000000000.0,7.0,0.1136985947929071
0.6,650000000000.0,9.0,0.1044057981627837
0.6,650000000000.0,11.0,0.0997857502991536
0.6,650000000000.0,13.0,0.0984717514594993
0.6,650000000000.0,15.0,0.0996052035419861
0.6,1050000000000.0,3.0,0.1336376795556932
0.6,1050000000000.0,5.0,0.1123509777393254
0.6,1050000000000.0,7.0,0.1023841660711977
0.6,1050000000000.0,9.0,0.0987546886986264
0.6,1050000000000.0,11.0,0.0991570381579501
0.6,1050000000000.0,13.0,0.1023185842432015
0.6,1050000000000.0,15.0,0.1074557925419979
0.6,1700000000000.0,3.0,0.1141242384254301
0.6,1700000000000.0,5.0,0.101394576530382
0.6,1700000000000.0,7.0,0.0986092809852561
0.6,1700000000000.0,9.0,0.1011190909967861
0.6,1700000000000.0,11.0,0.1068392609422799
0.6,1700000000000.0,13.0,0.1146491421307285
0.6,1700000000000.0,15.0,0.1238752980912308
0.6,2750000000000.0,3.0,0.1020152357618671
0.6,2750000000000.0,5.0,0.0989376949318202
0.6,2750000000000.0,7.0,0.1039250013937719
0.6,2750000000000.0,9.0,0.1128919678909498
0.6,2750000000000.0,11.0,0.1240777254928554
0.6,2750000000000.0,13.0,0.1365694662336101
0.6,2750000000000.0,15.0,0.1498378988485051
0.6,4450000000000.0,3.0,0.0989535354157667
0.6,4450000000000.0,5.0,0.1064801707214955
0.6,4450000000000.0,7.0,0.1196943850945124
0.6,4450000000000.0,9.0,0.1353012819138423
0.6,4450000000000.0,11.0,0.151967262154826
0.6,4450000000000.0,13.0,0.1690445387082373
0.6,4450000000000.0,15.0,0.1861832592867385
0.6,7200000000000.0,3.0,0.1065062234994175
0.6,7200000000000.0,5.0,0.1253650076305682
0.6,7200000000000.0,7.0,0.147040301773399
0.6,7200000000000.0,9.0,0.1692563604769201
0.6,7200000000000.0,11.0,0.1912139064206624
0.6,7200000000000.0,13.0,0.2125895628672958
0.6,7200000000000.0,15.0,0.233249167613603
0.6,11650000000000.0,3.0,0.1260215671037473
0.6,11650000000000.0,5.0,0.1566286869189335
0.6,11650000000000.0,7.0,0.1866959267391011
0.6,11650000000000.0,9.0,0.2152069454262337
0.6,11650000000000.0,11.0,0.242008017195914
0.6,11650000000000.0,13.0,0.2671601138145871
0.6,11650000000000.0,15.0,0.2907799865175814
0.7,400000000000.0,1.0,0.2061251553358661
0.7,400000000000.0,3.0,0.1440052158206128
0.7,400000000000.0,5.0,0.1153033872137808
0.7,400000000000.0,7.0,0.1022694574958592
0.7,400000000000.0,9.0,0.0985276931884192
0.7,400000000000.0,11.0,0.1009656004743105
0.7,400000000000.0,13.0,0.1077931023434302
0.7,650000000000.0,1.0,0.1692926740380817
0.7,650000000000.0,3.0,0.1188540959841537
0.7,650000000000.0,5.0,0.1015843049681795
0.7,650000000000.0,7.0,0.098757166173785
0.7,650000000000.0,9.0,0.1040742018056471
0.7,650000000000.0,11.0,0.1145738539789575
0.7,650000000000.0,13.0,0.1286007407719268
0.7,1050000000000.0,1.0,0.1374440608843936
0.7,1050000000000.0,3.0,0.1029701631306362
0.7,1050000000000.0,5.0,0.0992016426899171
0.7,1050000000000.0,7.0,0.1077915801050271
0.7,1050000000000.0,9.0,0.1229104596078437
0.7,1050000000000.0,11.0,0.1419211856022353
0.7,1050000000000.0,13.0,0.163396688575337
0.7,1700000000000.0,1.0,0.1133104687735239
0.7,1700000000000.0,3.0,0.0989896435835592
0.7,1700000000000.0,5.0,0.1107878968645819
0.7,1700000000000.0,7.0,0.1319896595561132
0.7,1700000000000.0,9.0,0.1576187381899602
0.7,1700000000000.0,11.0,0.1855380177492959
0.7,1700000000000.0,13.0,0.2146459978412379
0.7,2750000000000.0,1.0,0.1002667795985003
0.7,2750000000000.0,3.0,0.1098950741822813
0.7,2750000000000.0,5.0,0.1389870241817885
0.7,2750000000000.0,7.0,0.1736650949864684
0.7,2750000000000.0,9.0,0.2101887587226385
0.7,2750000000000.0,11.0,0.2470998977594469
0.7,2750000000000.0,13.0,0.2837232252171016
0.7,4450000000000.0,1.0,0.1013285726839237
0.7,4450000000000.0,3.0,0.1384263272438988
0.7,4450000000000.0,5.0,0.1862245961745795
0.7,4450000000000.0,7.0,0.2349030482951846
0.7,4450000000000.0,9.0,0.2823621677440072
0.7,4450000000000.0,11.0,0.3280155991113401
0.7,4450000000000.0,13.0,0.3717219152983044
0.7,7200000000000.0,1.0,0.1193973339523209
0.7,7200000000000.0,3.0,0.1869628801230953
0.7,7200000000000.0,5.0,0.2543077943904737
0.7,7200000000000.0,7.0,0.3169516330942749
0.7,7200000000000.0,9.0,0.3748681478993512
0.7,7200000000000.0,11.0,0.4285432227353208
0.7,7200000000000.0,13.0,0.4784771949996218
0.8,250000000000.0,1.0,0.204753808978504
0.8,250000000000.0,3.0,0.1357104933337657
0.8,250000000000.0,5.0,0.1069951937297797
0.8,250000000000.0,7.0,0.0982067781444081
0.8,250000000000.0,9.0,0.1015376412034522
0.8,250000000000.0,11.0,0.1130516705773654
0.8,250000000000.0,13.0,0.1304341256508505
0.8,400000000000.0,1.0,0.1655762990081934
0.8,400000000000.0,3.0,0.1114328266137992
0.8,400000000000.0,5.0,0.0983124315311315
0.8,400000000000.0,7.0,0.1037498594751171
0.8,400000000000.0,9.0,0.1198528510439512
0.8,400000000000.0,11.0,0.1428180742156532
0.8,400000000000.0,13.0,0.1704803225522255
0.8,650000000000.0,1.0,0.1307200603375036
0.8,650000000000.0,3.0,0.0990131161091405
0.8,650000000000.0,5.0,0.105617103611116
0.8,650000000000.0,7.0,0.1279882920589075
0.8,650000000000.0,9.0,0.1587563314843413
0.8,650000000000.0,11.0,0.1945283313184394
0.8,650000000000.0,13.0,0.2334435041759756
0.8,1050000000000.0,1.0,0.1069880471839542
0.8,1050000000000.0,3.0,0.1040637239851473
0.8,1050000000000.0,5.0,0.1334558020034936
0.8,1050000000000.0,7.0,0.1744887124700367
0.8,1050000000000.0,9.0,0.2209050796466183
0.8,1050000000000.0,11.0,0.2699933159950022
0.8,1050000000000.0,13.0,0.3203477115435292
0.8,1700000000000.0,1.0,0.0988689757898739
0.8,1700000000000.0,3.0,0.1310873722447257
0.8,1700000000000.0,5.0,0.1862984629936831
0.8,1700000000000.0,7.0,0.2476030731762032
0.8,1700000000000.0,9.0,0.31047618735808
0.8,1700000000000.0,11.0,0.3731820623088228
0.8,1700000000000.0,13.0,0.4349370194019395
0.8,2750000000000.0,1.0,0.1113229319866675
0.8,2750000000000.0,3.0,0.1843431315041868
0.8,2750000000000.0,5.0,0.2676668612420648
0.8,2750000000000.0,7.0,0.3501122344759575
0.8,2750000000000.0,9.0,0.4295400329604701
0.8,2750000000000.0,11.0,0.5055016078526232
0.8,2750000000000.0,13.0,0.5780086339933929
0.8,4450000000000.0,1.0,0.1489465807098871
0.8,4450000000000.0,3.0,0.2677088613704478
0.8,4450000000000.0,5.0,0.3805902273261964
0.8,4450000000000.0,7.0,0.4842133741795514
0.8,4450000000000.0,9.0,0.5795296580924095
0.8,4450000000000.0,11.0,0.66770203251118
0.8,4450000000000.0,13.0,0.7497101167904043
0.9,130000000000.0,1.0,0.2276555727696477
0.9,130000000000.0,3.0,0.1464686550917426
0.9,130000000000.0,5.0,0.1097065361784289
0.9,130000000000.0,7.0,0.0975554986213248
0.9,130000000000.0,9.0,0.1012906330786878
0.9,130000000000.0,11.0,0.116188770316533
0.9,130000000000.0,13.0,0.139343221351104
0.9,250000000000.0,1.0,0.1685014168652533
0.9,250000000000.0,3.0,0.1085327912592553
0.9,250000000000.0,5.0,0.0979650732337947
0.9,250000000000.0,7.0,0.1109621214289293
0.9,250000000000.0,9.0,0.1378777063332452
0.9,250000000000.0,11.0,0.1739147535262127
0.9,250000000000.0,13.0,0.216281847814405
0.9,400000000000.0,1.0,0.1312521119565058
0.9,400000000000.0,3.0,0.0981725833987995
0.9,400000000000.0,5.0,0.1127582222335176
0.9,400000000000.0,7.0,0.1478401892862068
0.9,400000000000.0,9.0,0.1941261228806701
0.9,400000000000.0,11.0,0.2472240476181595
0.9,400000000000.0,13.0,0.3046770773255872
0.9,650000000000.0,1.0,0.1053758405942651
0.9,650000000000.0,3.0,0.1100460829232137
0.9,650000000000.0,5.0,0.1556901275813662
0.9,650000000000.0,7.0,0.2166194457114214
0.9,650000000000.0,9.0,0.2847899207193239
0.9,650000000000.0,11.0,0.3566380277332698
