Title: The Transit Light Curve Project. V. System Parameters and Stellar 
       Rotation Period of HD 189733  
Authors: Winn J.N., Holman M.J., Henry G.W., Roussanova A., Enya K., Yoshii Y.,
         Shporer A., Mazeh T., Johnson .A., Narita N., Suto Y. 
Table: Photometry of HD 189733
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1- 12 A12    ---     Tele    Telescope 
  14- 20 A7     ---     Filter  Filter 
  22- 34 F13.5  d       HJD     Heliocentric Julian Date of mid-exposure
  36- 41 F6.4   ---     RFlux   Relative flux 
  43- 48 F6.4   ---   e_RFlux   Uncertainty in RFlux
--------------------------------------------------------------------------------
FLWO 1.2m    z       2453937.74951 0.9819 0.0024 
FLWO 1.2m    z       2453937.74967 0.9837 0.0024 
FLWO 1.2m    z       2453937.74983 0.9877 0.0024 
FLWO 1.2m    z       2453937.74999 0.9796 0.0024 
FLWO 1.2m    z       2453937.75015 0.9867 0.0024 
FLWO 1.2m    z       2453937.75033 0.9828 0.0024 
FLWO 1.2m    z       2453937.75049 0.9820 0.0024 
FLWO 1.2m    z       2453937.75065 0.9829 0.0024 
FLWO 1.2m    z       2453937.75081 0.9823 0.0024 
FLWO 1.2m    z       2453937.75098 0.9808 0.0024 
FLWO 1.2m    z       2453937.75116 0.9840 0.0024 
FLWO 1.2m    z       2453937.75132 0.9795 0.0024 
FLWO 1.2m    z       2453937.75150 0.9792 0.0024 
FLWO 1.2m    z       2453937.75167 0.9837 0.0024 
FLWO 1.2m    z       2453937.75184 0.9824 0.0024 
FLWO 1.2m    z       2453937.75201 0.9765 0.0024 
FLWO 1.2m    z       2453937.75235 0.9824 0.0024 
FLWO 1.2m    z       2453937.75251 0.9764 0.0024 
FLWO 1.2m    z       2453937.75269 0.9783 0.0024 
FLWO 1.2m    z       2453937.75285 0.9815 0.0024 
FLWO 1.2m    z       2453937.75301 0.9782 0.0024 
FLWO 1.2m    z       2453937.75317 0.9819 0.0024 
FLWO 1.2m    z       2453937.75334 0.9780 0.0024 
FLWO 1.2m    z       2453937.75351 0.9794 0.0024 
FLWO 1.2m    z       2453937.75368 0.9766 0.0024 
FLWO 1.2m    z       2453937.75385 0.9771 0.0024 
FLWO 1.2m    z       2453937.75401 0.9762 0.0024 
FLWO 1.2m    z       2453937.75418 0.9801 0.0024 
FLWO 1.2m    z       2453937.75434 0.9772 0.0024 
FLWO 1.2m    z       2453937.75451 0.9753 0.0024 
FLWO 1.2m    z       2453937.75467 0.9760 0.0024 
FLWO 1.2m    z       2453937.75483 0.9775 0.0024 
FLWO 1.2m    z       2453937.75500 0.9760 0.0024 
FLWO 1.2m    z       2453937.75516 0.9777 0.0024 
